Train_Number,Train_Name,From_Station,To_Station,Type
13181,KAZIRANGA EXP,KOAA,GHY,Mail/Express
5640,KOAA SCL SPL,KOAA,GHY,Mail/Express
2501,KOAA AGTL SPL,KOAA,GHY,Mail/Express
2517,KOAA GHY SPL,KOAA,GHY,Superfast
22502,NTSK SMVB EXPRESS,GHY,PER,Superfast
12508,ARONAI EXPRESS,GHY,PER,Superfast
12510,GHY SMVB EXPRESS,GHY,PER,Superfast
12516,SCL CBE EXPRESS,GHY,PER,Superfast
15630,NAGAON EXPRESS,GHY,MS,Mail/Express
12504,AGTL SMVB HUMSAFAR,GHY,PER,Humsafar
15629,NAGAON EXPRESS,MS,GHY,Mail/Express
20501,TEJAS EXPRESS,GHY,ANVT,Tejas
20503,DBRG NDLS RAJEXP,GHY,NDLS,Rajdhani
14037,NDLS S KRANTI EXP,GHY,NDLS,Superfast
14619,TRIPURA SUNDARI EXP,GHY,NDLS,Mail/Express
22449,PORVOTR S KRNTI,GHY,NDLS,Superfast
12423,DBRT NDLS RAJDHANI,GHY,NDLS,Rajdhani
15909,AVADH ASSAM EXP,GHY,DLI,Mail/Express
15910,AVADH ASSAM EXP,DLI,GHY,Mail/Express
20504,NDLS DBRG RJDHN,NDLS,GHY,Rajdhani
12424,DBRT RAJDHANI,NDLS,GHY,Rajdhani
14038,SCL S KRANTI EXP,NDLS,GHY,Superfast
14620,TRIPURA SUNDARI EXP,NDLS,GHY,Mail/Express
22450,PORVOTR S KRNTI,NDLS,GHY,Superfast
15648,GHY LTT EXPRESS,GHY,LTT,Mail/Express
15946,DBRG LTT EXPRESS,GHY,LTT,Mail/Express
12520,KYQ LTT AC EXP,GHY,LTT,Superfast
12519,LTT KYQ AC EXP,LTT,GHY,Superfast
15647,GUWAHATI EXPRES,LTT,GHY,Mail/Express
15945,LTT DBRG EXPRESS,LTT,GHY,Mail/Express
15960,KAMRUP EXPRESS,GHY,HWH,Mail/Express
12346,SARAIGHAT EXP,GHY,HWH,Superfast
5639,SCL KOAA SPECIAL,GHY,KOAA,Mail/Express
13182,KAZIRANGA EXP,GHY,KOAA,Mail/Express
2502,AGTL KOAA SPL,GHY,KOAA,Superfast
2518,GHY KOAA SPECIAL,GHY,KOAA,Superfast
12509,GUWAHATI EXP,PER,GHY,Superfast
12515,CBE SCL EXP,PER,GHY,Superfast
12507,ARONAI EXPRESS,PER,GHY,Superfast
22501,NEW TINSUKIA EXP,PER,GHY,Superfast
12503,AGTL HUMSAFAR,PER,GHY,Humsafar
22512,KARMABHOOMI EXP,KYQ,LTT,Superfast
