Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
DBRG,DIBRUGARH ,9,97.31,0.38,2.31,0.00
NTSK,NEW TINSUKIA JN ,12,83.85,13.46,2.31,0.38
DJG,DULIAJAN ,16,71.54,25.00,3.08,0.38
NHK,NAHARKATIYA ,26,42.69,53.46,3.46,0.38
NAM,NAMRUP ,19,64.23,31.92,3.46,0.38
BOJ,BHOJO ,28,33.46,61.92,4.23,0.38
SLGR,SIMALUGURI JN ,35,23.46,70.38,6.15,0.00
AGI,AMGURI ,25,52.69,41.15,6.15,0.00
MXN,MARIANI JN ,29,47.69,43.46,8.85,0.00
FKG,FURKATING JN ,14,87.69,5.38,6.92,0.00
BXP,BARPATHAR ,27,56.15,35.38,8.46,0.00
SZR,SARUPATHAR ,31,45.77,44.62,9.62,0.00
DMV,DIMAPUR ,43,20.00,67.31,12.69,0.00
DPU,DIPHU ,38,21.54,65.77,12.69,0.00
LMG,LUMDING JN ,33,37.69,51.54,10.77,0.00
LKA,LANKA ,29,48.08,39.62,12.31,0.00
HJI,HOJAI ,31,46.54,40.38,13.08,0.00
CPK,CHAPARMUKH JN ,36,37.31,46.92,15.77,0.00
GHY,GUWAHATI ,37,34.62,48.85,16.54,0.00
KYQ,KAMAKHYA ,38,33.85,47.69,18.46,0.00
RNY,RANGIYA JN ,39,38.85,42.31,17.69,1.15
NLV,NALBARI ,48,25.00,53.08,20.77,1.15
TIHU,TIHU ,54,18.08,56.54,24.23,1.15
PBL,PATHSALA ,62,8.08,60.77,30.00,1.15
BPRD,BARPETA ROAD ,72,5.00,48.46,45.38,1.15
SBE,SORBHOG JN ,72,3.85,50.38,44.62,1.15
BNGN,BONGAIGAON ,69,6.15,50.38,42.31,1.15
NBQ,NEW BONGAIGAON ,48,34.62,38.08,23.46,3.85
KOJ,KOKRAJHAR ,52,24.62,48.85,26.54,0.00
FKM,FAKIRAGRAM JN ,55,20.00,51.15,28.85,0.00
KAMG,KAMAKHYAGURI ,68,6.15,56.54,37.31,0.00
NOQ,NEW ALIPURDAUR ,69,6.15,56.15,37.69,0.00
NCB,NEW COOCH BEHAR ,71,6.15,53.85,40.00,0.00
FLK,FALAKATA ,74,4.62,50.77,44.23,0.38
DQG,DHUPGURI ,70,9.62,48.08,41.92,0.38
NMX,NEW MAYNAGURI ,71,8.08,48.46,43.08,0.38
JPE,JALPAIGURI ROAD ,75,5.77,48.08,46.15,0.00
NJP,NEW JALPAIGURI ,45,45.77,29.62,24.62,0.00
AUB,ALUABARI ROAD ,56,29.23,41.15,29.62,0.00
KNE,KISHANGANJ ,61,20.00,46.54,33.46,0.00
HCR,HARISCHANDRPUR ,71,10.38,53.85,35.77,0.00
SM,SAMSI ,60,3.08,3.85,3.46,89.62
MLDT,MALDA TOWN ,39,66.92,5.77,27.31,0.00
NFK,NEW FARAKKA JN ,42,63.46,9.62,26.92,0.00
DGLE,DHULIAN GANGA ,42,63.46,9.62,26.92,0.00
NILE,NIMTITA ,42,63.85,9.62,26.54,0.00
JRLE,JANGIPUR ROAD ,45,63.85,8.85,27.31,0.00
AZ,AZIMGANJ JN ,39,66.54,8.08,25.38,0.00
KGLE,KHAGRAGHAT ROAD ,42,64.62,9.62,25.77,0.00
SALE,SALAR ,47,61.54,11.92,26.54,0.00
KWAE,KATWA ,39,66.92,8.08,25.00,0.00
NDAE,NABADWIP DHAM ,40,65.38,11.15,23.46,0.00
ABKA,AMBIKA KALNA ,42,61.92,15.00,23.08,0.00
BDC,BANDEL JN ,40,65.38,11.92,22.69,0.00
HWH,HOWRAH JN ,13,75.77,8.08,16.15,0.00
